course,description,level,rate,language
effective business presentations with powerpoint,"This course is all about presenting the story of the data, using PowerPoint. You'll learn how to structure a presentation, to include insights and supporting data. You'll also learn some design principles for effective visuals and slides. You'll gain skills for client-facing communication - including public speaking, executive presence and compelling storytelling. Finally, you'll be given a client profile, a business problem, and a set of basic Excel charts, which you'll need to turn into a presentation - which you'll deliver with iterative peer feedback.

This course was created by PricewaterhouseCoopers LLP with an address at 300 Madison Avenue, New York, New York, 10017.",Beginner Level,4.5,English
blockchain and business: applications and implications,"Blockchain will bring about profound changes to business, and even to the nature of business itself.  This technology will disrupt how enterprises are funded and managed, how they create value, and even how they perform basic functions like marketing and accounting.  In this course you will learn how blockchain technology will penetrate into the structures of organizations. You will explore how blockchain will transform the roles of the C-Suite, and how a blockchain can be used to manage and protect intellectual property.  You will be able to identify the different layers of the blockchain technology stack, and explain how these affect the governance of blockchain systems.  As well, you will be able to identify seven qualities that a region in the world needs in order to attract technology startups and to build a vibrant blockchain ecosystem.",Mixed Level,4.9,English
excel skills for business: advanced,"Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces around the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. Across the globe, millions of job advertisements requiring Excel skills are posted every day. At a time when digital skills jobs are growing much faster than non-digital jobs, completing this course will position you ahead of others, so keep reading.

In this last course of our Specialization Excel Skills for Business you will build on the strong foundations of the first three courses: Essentials, Intermediate I + II.  In the Advanced course, we will prepare you to become a power user of Excel - this is your last step before specializing at a professional level. The topics we have prepared will challenge you as you learn how to use advanced formula techniques and sophisticated lookups. You will clean and prepare data for analysis, and learn how to work with dates and financial functions. An in-depth look at spreadsheet design and documentation will prepare you for our big finale, where you will learn how to build professional dashboards in Excel.",Intermediate Level,4.7,English
business model canvas: a tool for entrepreneurs and innovators (project-centered course),"What you’ll achieve:
In this project-centered course*, you will use the Business Model Canvas innovation tool to approach either a personal or corporate challenge or opportunity. You’ll learn to identify and communicate the nine key elements of a business model: Customer Segments, Value Proposition, Channels, Customer Relationships, Key Resources, Key Activities, Key Partners, Revenue Streams, and Cost Structure.

Your completed project will be a polished Business Model Canvas that outlines the business case for a new product or service to address your selected challenge or opportunity. You’ll present your case in both a one-page document and a 10-minute video presentation.

What you need to get started:
This project-centered course is designed for anyone who wants to understand innovation best practices and the intra-corporate entrepreneurial (intrapreneur) skills needed to lead innovation projects, teams, and strategies. Entry- and senior-level professionals in a variety of industries - including education, healthcare, business, and not-for-profit - will benefit from the course materials and project experience. The only prerequisite is a strong desire to understand best practices in innovation and to master the skills needed to transform a new idea into a profitable reality.

To complete the project, you’ll need to access the Business Model Canvas from either the Kauffman Foundation (http://www.entrepreneurship.org) or Strategyzer.com (http://www.Strategyzer.com), or via the Creative Commons license offered by Strategyzer AG (http://www.businessmodelgeneration.com/downloads/business_model_canvas_poster.pdf).

*About Project-Centered Courses: Coursera's project-centered courses are designed to help you complete a personally meaningful real-world project, with your instructor and a community of like-minded learners providing guidance and suggestions along the way. By actively applying new concepts as you learn, you’ll master the course content more efficiently; you’ll also get a head start on using the skills you gain to make positive changes in your life and career. When you complete the course, you’ll have a finished project that you’ll be proud to use and share.",Beginner Level,4.5,English
(re)-invent your business model with the odyssey 3.14 approach,"This course gives you access to Odyssey 3.14 - an original approach developed to help you invent or reinvent a business model. 

This highly innovative approach has been developed by Laurence Lehmann-Ortega and Hélène Musikas and has been shown to be very effective. It is taught to top executives, entrepreneurs, and HEC students.

You will learn about the concept and tools that combine innovation and strategy. Starting with the 3 pillars that make up the core business model, this approach recommends 14 directions to consider in order to invent or reinvent the business model.
Whether you are a graduate student, an executive or an entrepreneur, you will learn from examples and from your peers how to challenge your views in order to be innovative and come up with new ideas. 
Odyssey 3.14 is the result of over ten years of research, consulting and teaching. Over 100 companies that have successfully invented or reinvented their business model have been thoroughly analyzed and will inspire you to develop your own new, innovative business model.

At the end of the course, you will be able to :
•	Define what a business model is and how it relates to other the tools and frameworks in strategy
•	Understand the 3 components of the business model and how they are linked
•	Remember the 14 directions in which to explore and imagine a new business model
•	Understand the Odyssey 3.14 global approach, which means being able to apply this approach to any industry",Mixed Level,4.7,English
accounting for business decision making: measurement and operational decisions,"Accounting information is the lifeblood of the organization as it facilitates and influences operational and strategic decisions intended to achieve organizational goals. Organizations benefit from three decision-oriented roles of accounting: measurement, control, and communication. 

This course provides an introduction to accounting’s measurement role inside of an organization and how accountants communicate information that helps managers and employees make operational decisions. In particular, you will learn how cost information is created and organized to help managers and employees conduct profitability analyses, develop and choose products, make pricing decisions, and make common business decisions. 

Upon successful completion of this course, you will be able to:
•	Identify the nature, purpose, and importance of different types of decision-useful accounting information.
•	Create, organize, and communicate cost information to best suit common operational decisions. 
•	Use accounting information to manage products, control costs, and leverage other drivers of operational success.

If you enjoy this business course and are interested in an MBA, consider applying to the iMBA, a flexible, fully-accredited online MBA at an incredibly competitive price offered by the University of Illinois. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Beginner Level,4.2,English
european business law: understanding the fundamentals,"The European Union is one of the world’s largest and most important economies. This five week course is the first in a series of three that will provide students with an insight into European Business Law. The series ranges from considering the basic structures and principles of the European Union to focusing on various specialized areas of law. Each course will give the students an understanding of the laws and policies that regulate the internal market of European Union, as well as relevant case law and useful inputs from leading practitioners in the field. 

At the end of this course series, you will have a basic understanding of how to:

•	Navigate EU legal sources

•	Understand relevant laws and regulations governing the internal European Union market

•	Apply the fundamental principles of EU law within the EU legal framework

•	Utilize the rules of freedom of movement and their impacts on trade in the EU

•	Relate EU law with national laws

•	Understand EU policies and their influence on foreign trade and investment


About the Series

In the first course, Understanding the Fundamentals, we will examine the core structures and principles of the European Union as well as the main sources of law. In the second course, Doing business in Europe, we will focus on the main laws that regulate various aspects of establishing and running a business within the European Union. In the final course, Competing in Europe, we will go into more depth about how to compete on the internal market and protect your brand, product or invention. 

To keep up to speed on the course series, visit our Facebook page at:

https://www.facebook.com/eblmooc/


Syllabus and Format

Each course consists of a number of modules where one module represents about one week of work. A module includes a number of lectures and readings, and finishes with a voluntary assessment – a quiz, a small peer graded assignment or a case law review. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Course I - Understanding the Fundamentals

Module 1.	Introduction to EU law
Module 2.	Legal Method and Sources 
Module 3.	Constitutional Freedoms and Fundamental principles 
Module 4.	Freedom of Movement 
Module 5.	The External Dimension 

Course II - Doing Business in Europe 

Module 1. 	Making Business Transactions
Module 2. 	Establishing a Company
Module 3. 	Employing and Working in Europe
Module 4. 	Paying Taxes and Complying with Environmental Standards 
Module 5. 	Case Clinic
Module 6. 	Resolving Cross-border Disputes 

Course III - Competing in Europe

Module 1. 	Trademarks as Essential Assets
Module 2. 	Defending Patents 
Module 3. 	Competition: Illegal Agreements 
Module 4. 	Competition: Abuse of Dominance and Mergers 
Module 5. 	Advocacy and Legal Writing 
Module 6. 	Selling to the State and State Aid 


Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.
The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching. 

The Master’s programme in European Business Law provides an in-depth understanding of both the practical and the theoretical aspects of business law within the European Union. The programme provides both general and specific knowledge of the European Union legal framework, which is necessary for students intending to work as legal advisors or business decision-makers. The programme is delivered in English and is open to students with at least a three year degree in Law (Bachelor, LL.B, or equivalent) who want to specialise in European economic and business law.
The MOOC course in European Business Law is a great course to start with for students intending to apply for the Master’s programme in European Business Law. Even though the MOOC course does not grant credits previous knowledge of the subject is considered upon admission to the master’s programme. For more information about the Master’s programme in European Business Law see https://www.law.lu.se/#!meb",Mixed Level,4.7,English
strategic business management - microeconomics,"This course weds business strategy with the principles of microeconomics. It offers valuable a powerful toolbox together with cases and lessons across all major functions of business, management, from finance, operations management, and marketing to human resource management, organizational behavior, statistics, and, of course, business strategy.",Beginner Level,4.7,English
european business law: doing business in europe,"This six-week course titled Doing Business in Europe is the second in a series of three exploring some of the main business aspects of European Union law. Besides providing learners with a sound knowledge base of European laws and regulations relevant to establishing and managing a company within the European Union, the course also explores business considerations within a broader perspective by including inputs from leading law practitioners in the field. More specifically, the course discusses strategic and financial considerations within Company law, as well as Labour law issues such as restructuring enterprises, working conditions and handling crises situations. The course also examines other legal areas such as Tax law, Environmental law and Private International law, and how they tie in to doing business in Europe.

At the end of this course, you will have a basic understanding of how to:

· Understand the relevant regulations governing the internal European Union market

· Establish and run a company within the European Union

· Employ staff and recognize workers’ rights and obligations

· Comply with tax regulations and environmental standards

· Set up agreements and resolve cross-border disputes

· Successfully analyse EU case law and draft case reports


About the Series

The Lund series in European Business Law ranges from considering the basic structures and principles of the European Union to focusing on specialized areas of European Union law. The first course, Understanding the Fundamentals, examines the core structures and principles of the European Union. The third and final course, Competing in Europe, goes into depth concerning how to compete on the internal market and protect your brand, product or invention. All three courses can be taken independently or in sequence depending on your needs and preferences.

To keep up to speed on the course series, visit our Facebook page at:

https://www.facebook.com/eblmooc/


Syllabus and Format

Each course consists of a number of modules where one module represents about one week of work. A module includes a number of lectures and readings, and finishes with an assessment – a quiz or a peer graded assignment. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Course I - Understanding the Fundamentals

Module 1.	Introduction 
Module 2.	Legal Method and Sources 
Module 3.	Constitutional Freedoms and Fundamental principles 
Module 4.	Freedom of Movement 
Module 5.	The External Dimension 

Course II - Doing Business in Europe 

Module 1. 	Making Business Transactions
Module 2. 	Establishing a Company
Module 3. 	Employing and Working in Europe
Module 4. 	Paying Taxes and Complying with Environmental Standards 
Module 5. 	Case Clinic
Module 6. 	Resolving Cross-border Disputes 

Course III - Competing in Europe

Module 1. 	Trademarks as essential Assets
Module 2. 	Defending Patents 
Module 3. 	Competition: Illegal Agreements 
Module 4. 	Competition: Abuse of Dominance and Mergers 
Module 5. 	Legal Writing and Argumentation
Module 6. 	Selling to the State and State Aid 


Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.
The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching. 

The Master’s programme in European Business Law provides an in-depth understanding of both the practical and the theoretical aspects of business law within the European Union. The programme provides both general and specific knowledge of the European Union legal framework, which is necessary for students intending to work as legal advisors or business decision-makers. The programme is delivered in English and is open to students with at least a three year degree in Law (Bachelor, LL.B, or equivalent) who want to specialise in European economic and business law.
The MOOC course in European Business Law is a great course to start with for students intending to apply for the Master’s programme in European Business Law. Even though the MOOC course does not grant credits previous knowledge of the subject is considered upon admission to the master’s programme. For more information about the Master’s programme in European Business Law see https://www.law.lu.se/#!meb",Mixed Level,4.7,English
innovating with the business model canvas,"Have you ever gotten really excited about reading or writing a business plan? You might have started out excited, but I’m going to bet you didn’t stay that way. Let’s be honest- business plans are boring and mostly ignored. 

The beauty of the one-page Business Model Canvas is that it drives meaningful focus. It helps us organize our ideas and have better discussions by forcing specificity and bringing linkages between key business drivers to the foreground. Innovation requires one hand being very focused on a fundamental need or problem while the other hand quickly tests different solutions. For this, the Business Model Canvas is very innovation friendly: It's a lot easier to tweak the model and try things with something that's sitting on a single page

In this course, you’ll learn key tools from the worlds of design thinking and Lean Startup to approach the Canvas with thoughtfulness, focus, and above all a test-driven approach to business model innovation.",Mixed Level,4.6,English
international business i,"We live in a world of intensifying global relationships, one in which international business has become the key determinant of economic development and prosperity. This course, Global Business Environment, Part I, introduces students to a fundamental understanding of the socioeconomic political, cultural, and linguistic environment in which international businesses operate. This course utilizes an inquiry-based approach to understanding country level relationships in the Global Business Environment. It surveys the global business environment by asking and answering key questions about society, the global economy, cultures, institutions and languages. The questions we will ask are: 1. What is Globalization?, 2. Is Globalization New?, 3. How do Political and Social Institutions impact National Economic Development?, 4. What is the role of Culture?, 5. What are the Gains from Trade?6. Free Trade, Free-r Trade or Managed Trade?, 7. What are Foreign Currencies and how are Exchange Rates Determined?, 8. What does the Current Global Business Environment look like? This inquiry-based approach creates reflective opportunities for students to better understand the environment in which businesses operate. Lectures are delivered in an engaging manner, which encourages reflection and inquiry.",Mixed Level,4.6,English
foundations of strategic business analytics,"Who is this course for?  
This course is designed for students, business analysts, and data scientists who want to apply statistical knowledge and techniques to business contexts. For example, it may be suited to experienced statisticians, analysts, engineers who want to move more into a business role. 

You will find this course exciting and rewarding if you already have a background in statistics, can use R or another programming language and are familiar with databases and data analysis techniques such as regression, classification, and clustering.
However, it contains a number of recitals and R Studio tutorials which will consolidate your competences, enable you to play more freely with data and explore new features and statistical functions in R.

With this course, you’ll have a first overview on Strategic Business Analytics topics. We’ll discuss a wide variety of applications of Business Analytics. From Marketing to Supply Chain or Credit Scoring and HR Analytics, etc. We’ll cover many different data analytics techniques, each time explaining how to be relevant for your business.

We’ll pay special attention to how you can produce convincing, actionable, and efficient insights. We'll also present you with different data analytics tools to be applied to different types of issues.
By doing so, we’ll help you develop four sets of skills needed to leverage value from data: Analytics, IT, Business and Communication. 

By the end of this MOOC, you should be able to approach a business issue using Analytics by (1) qualifying the issue at hand in quantitative terms, (2) conducting relevant data analyses, and (3) presenting your conclusions and recommendations in a business-oriented, actionable and efficient way.

Prerequisites : 1/ Be able to use R or to program 2/ To know the fundamentals of databases, data analysis (regression, classification, clustering)

We give credit to Pauline Glikman, Albane Gaubert, Elias Abou Khalil-Lanvin (Students at ESSEC BUSINESS SCHOOL) for their contribution to this course design.",Mixed Level,4.4,English
global strategy ii: doing business in the global economy,"This course explores the ways firms overcome challenges when operating globally. The global economy is characterized for its high complexity and uncertainty.  Corporations trying to succeed in the global economy need to develop different types of strategies depending on where they are conducting business or what type business they are in.  Students taking this course will learn how to determine the best strategy to follow when expanding globally, the advantages and disadvantages of those strategies, and the appropriate responses to external pressures. 

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Mixed Level,4.9,English
european business law: competing in europe,"About this Course

This six-week course titled Competing in Europe is the third in a series of three exploring some of the main business aspects of European Union law. Besides providing learners with a sound knowledge base of European laws and regulations, the series explores business considerations within a broader perspective by including inputs from leading law practitioners in the field. More specifically, the third course discusses how to compete on the internal market and protect your brand, product or invention. It includes legal disciplines such as Intellectual Property law (IP law), Competition law and specific branches within Public law, such as public procurement and state aid. 

At the end of this course, you will have a basic understanding of how to:

•	Find and understand relevant laws and regulations governing the internal European Union market

•	Protect and defend a company’s products, brands and inventions by obtaining and licensing trademarks and patents

•	Create a competitive edge for a company and apply the basic principles of EU competition law

•	Construct and present a persuasive legal argument


About the Series

The Lund series in European Business Law ranges from considering the basic structures and principles of the European Union to focusing on specialized areas of European Union law. The first course, Understanding the Fundamentals, examines the core structures and principles of the European Union. The second course, Doing Business in Europe, examines legal areas such as Company law, Labour law, Tax law, Environmental law and Private International law, and how they tie in to doing business in Europe. All three courses can be taken independently or in sequence depending on your needs and preferences.

To keep up to speed on the course series, visit our Facebook page at:

https://www.facebook.com/eblmooc/


Syllabus and Format

Each course consists of a number of modules where one module represents about one week of work. A module includes a number of lectures and readings, and finishes with an assessment – a quiz or a peer graded assignment. The assessments are intended to encourage learning and ensure that you understand the material of the course. Participating in forum discussions is voluntary. 

Course I - Understanding the Fundamentals

Module 1.	Introduction 
Module 2.	Legal Method and Sources 
Module 3.	Constitutional Freedoms and Fundamental principles 
Module 4.	Freedom of Movement 
Module 5.	The External Dimension 

Course II - Doing Business in Europe 

Module 1. 	Making Business Transactions
Module 2. 	Establishing a Company
Module 3. 	Employing and Working in Europe
Module 4. 	Paying Taxes and Complying with Environmental Standards 
Module 5. 	Case Clinic
Module 6. 	Resolving Cross-border Disputes 

Course III - Competing in Europe

Module 1. 	Obtaining Trademarks
Module 2. 	Defending Patents 
Module 3. 	Competition: Illegal Agreements 
Module 4. 	Competition: Abuse of Dominance and Mergers 
Module 5. 	Advocacy and Legal Writing 
Module 6. 	Selling to the State and State Aid


Lund University

Lund University was founded in 1666 and has for a number of years been ranked among the world’s top 100 universities. The University has 47 700 students and 7 500 staff based in Lund, Sweden. Lund University unites tradition with a modern, dynamic, and highly international profile. With eight different faculties and numerous research centers and specialized institutes, Lund is the strongest research university in Sweden and one of Scandinavia's largest institutions for education and research. The university annually attracts a large number of international students and offers a wide range of courses and programmes taught in English. 

The Faulty of Law is one of Lund University’s four original faculties, dating back to 1666. It is a modern faculty with an international profile, welcoming both international and Swedish students. Education, research and interaction with the surrounding community are the main focus of the Faculty’s work. The connection between the three is particularly apparent in the programmes and courses offered by the university, including the university’s MOOC course in European Business Law. The students get the chance to engross themselves in traditional legal studies, while interacting with both researchers and professionally active lawyers with qualifications and experience from various areas of law.
The faculty offers three international Masters: two 2-year Master’s programmes in International Human Rights Law and European Business Law, and a 1-year Master’s in European and International Tax Law. Students from around 40 countries take part in the programmes which offer a unique subject specialization within each field, with highly qualified researchers and professional legal practitioners engaged in the teaching. 

The Master’s programme in European Business Law provides an in-depth understanding of both the practical and the theoretical aspects of business law within the European Union. The programme provides both general and specific knowledge of the European Union legal framework, which is necessary for students intending to work as legal advisors or business decision-makers. The programme is delivered in English and is open to students with at least a three year degree in Law (Bachelor, LL.B, or equivalent) who want to specialise in European economic and business law.
The MOOC course in European Business Law is a great course to start with for students intending to apply for the Master’s programme in European Business Law. Even though the MOOC course does not grant credits previous knowledge of the subject is considered upon admission to the master’s programme. For more information about the Master’s programme in European Business Law see https://www.law.lu.se/#!meb",Mixed Level,4.6,English
